asker_name,asker_reputation,question,tags,time_asked,views,no_answers,no_votes_question,has_accepted_answer,answerer_name,answerer_reputation,no_votes_answer,time_answered,link
plnnvkv,541,Remove a substring from lines starting with a specific character,['bash'/ 'bioinformatics'/ 'fasta'],2022-11-28 15:06:06Z,41,4,1,True,William Pursell,198000,1,2022-11-28 15:21:02Z,https://stackoverflow.com/questions/74602571/remove-a-substring-from-lines-starting-with-a-specific-character
Nickmofoe,57,How can I find a protein sequence from a FASTA file using perl?,['regex'/ 'perl'/ 'bioinformatics'/ 'protein-database'],2022-11-28 11:33:07Z,52,1,1,True,pmqs,5003,3,2022-11-28 22:55:50Z,https://stackoverflow.com/questions/74599963/how-can-i-find-a-protein-sequence-from-a-fasta-file-using-perl
Manas Gupta,9,ValueError: I/O operation on closed file while visualizing my protein,['python'/ 'bioinformatics'],2022-11-28 06:55:17Z,26,0,0,False,,,,,https://stackoverflow.com/questions/74596989/valueerror-i-o-operation-on-closed-file-while-visualizing-my-protein
not_ginn,1,Can't generate any alignments in MCScanX,['bash'/ 'bioinformatics'],2022-11-25 10:33:25Z,49,0,0,False,,,,,https://stackoverflow.com/questions/74571429/cant-generate-any-alignments-in-mcscanx
Ankita,25,How to find Mann-whitney p value across all genes using R?,['r'/ 'statistics'/ 'bioinformatics'/ 'pairwise.wilcox.test'],2022-11-24 10:04:45Z,36,0,0,False,,,,,https://stackoverflow.com/questions/74558894/how-to-find-mann-whitney-p-value-across-all-genes-using-r
Michael Yoon,31,Loop for two variables in nextflow block?,['loops'/ 'conda'/ 'bioinformatics'/ 'nextflow'],2022-11-23 04:11:20Z,59,2,0,False,Pierre,33600,0,2022-11-23 08:18:21Z,https://stackoverflow.com/questions/74541711/loop-for-two-variables-in-nextflow-block
Michael Yoon,31,Running dada2 pipeline without learning error rate,['r'/ 'bioinformatics'/ 'taxonomy'/ 'bioconductor'],2022-11-23 02:41:16Z,21,0,0,False,,,,,https://stackoverflow.com/questions/74541181/running-dada2-pipeline-without-learning-error-rate
Bioinf,1,overlapping drawings in turtle python,['python'/ 'data-science'/ 'bioinformatics'/ 'turtle-graphics'/ 'python-turtle'],2022-11-22 19:35:51Z,20,0,-1,False,,,,,https://stackoverflow.com/questions/74538100/overlapping-drawings-in-turtle-python
Angelo,4715,baseDir issue with nextflow,['bioinformatics'/ 'nextflow'],2022-11-22 14:40:05Z,39,1,0,False,Steve,47700,1,2022-11-23 00:17:24Z,https://stackoverflow.com/questions/74534408/basedir-issue-with-nextflow
Ahmed Kazlak,9,How to split fastq file that has both forward and reverse reads mixed,['bioinformatics'/ 'fastq'],2022-11-22 08:30:38Z,40,0,0,False,,,,,https://stackoverflow.com/questions/74529570/how-to-split-fastq-file-that-has-both-forward-and-reverse-reads-mixed
